Id,EventDate,EventID,RoundNumber,GameID,Condition,Scenario,Length,WinnerFaction,WinnerCCCode,WinnerMeta,WinnerTheme1,WinnerTheme2,WinnerCaster1,WinnerCaster2,WinnerCP,WinnerAPD,OpponentFaction,OpponentCCCode,OpponentMeta,OpponentTheme1,OpponentTheme2,OpponentCaster1,OpponentCaster2,OpponentCP,OpponentAPD
1,5/11/2018,5392cc26-fff9-493e-88c6-d0fd656a6252,1,8ff76442-d9ed-4b65-9b4d-78bc34236b51,Assassination,1. The Pit,4,Protectorate of Menoth,,,,,,,1,70,Skorne,,,,,,,0,0
2,5/11/2018,5392cc26-fff9-493e-88c6-d0fd656a6252,1,41e8a06c-c2a1-4b3d-949c-bdc52754e105,Death Clock,1. The Pit,6,Khador,,,,,,,1,30,Trollbloods,,,,,,,0,0
3,5/11/2018,5392cc26-fff9-493e-88c6-d0fd656a6252,1,e89ae5ce-7eef-4c4f-a44c-78f2881f5415,Assassination,1. The Pit,5,Cygnar,,,,,,,5,50,Trollbloods,,,,,,,1,0
4,5/11/2018,5392cc26-fff9-493e-88c6-d0fd656a6252,2,2c6553f1-2868-4fd3-b591-ef88dc14eed3,Assassination,6. Recon,0,Khador,,,,,,,0,40,Cygnar,,,,,,,0,0
5,5/11/2018,5392cc26-fff9-493e-88c6-d0fd656a6252,2,6664b8c3-805e-46aa-9f74-e1cfa363e165,Scenario,6. Recon,0,Protectorate of Menoth,,,,,,,5,50,Circle Orboros,,,,,,,0,0
6,5/11/2018,5392cc26-fff9-493e-88c6-d0fd656a6252,2,90ad0974-d5cf-4388-8c77-ab05e509d38d,Scenario,6. Recon,5,Trollbloods,,,,,,,5,0,Trollbloods,,,,,,,0,0
7,5/11/2018,5392cc26-fff9-493e-88c6-d0fd656a6252,3,af67c40b-8352-4088-b275-44eee308c48e,Scenario,6. Recon,4,Trollbloods,,,,,,,5,0,Circle Orboros,,,,,,,0,0
8,5/11/2018,5392cc26-fff9-493e-88c6-d0fd656a6252,3,e1167f45-b30a-4712-a49b-78b0210171bb,Assassination,6. Recon,3,Cygnar,,,,,,,0,70,Skorne,,,,,,,0,0
9,5/11/2018,5392cc26-fff9-493e-88c6-d0fd656a6252,3,349c5d22-2939-4bd7-9792-84345f9f802b,Scenario,6. Recon,7,Khador,,,,,,,8,0,Protectorate of Menoth,,,,,,,3,0
10,5/12/2018,738413f5-6cac-4164-85ec-7d255b07ff18,1,c5330aec-5904-4ce0-8dba-9659265606f7,Concession,3. Spread the Net,5,Cygnar,c1101b_-0n7C9c9cf6c0akanaj9cae___-0ebS9c9c9c9caofjahahacacbzbz,"Madison, WI",[Theme] Heavy Metal,[Theme] Storm Division,Stryker 1,Nemo 3,3,88,Khador,c3101b_-0K7b7p7p8shF4i888988898889d1___-0y797p7pkWdijy8x7H7I7H7I7K,"Milwaukee, WI",[Theme] Wolves of Winter,[Theme] Legion of Steel,Zerkova 1,Irusk 2,1,46
11,5/12/2018,738413f5-6cac-4164-85ec-7d255b07ff18,1,cda9129c-09b7-4f87-8bc7-cd6a7d9580a8,Scenario,3. Spread the Net,5,Cygnar,,"Madison, WI",,,,,10,130,Legion of Everblight,ca101bfd28bvkMaOeKbbbbfUfUa_b0jx___-0tcVkOkEbvbfaMbubbb9b9jx,"Oshkosh, WI",[Theme] Legion of Everblight (default),[Theme] Oracles of Annihilation,Twins 2,Lylyth 3,2,47
